year,commentid,form_letter,org_type,comment,stance_1_cat3
2017,FNS-2017-0021-1309,nan,Other government agency - (non school),"Dear Ms. Naiman: 
The New York City (NYC) Department of Health and Mental Hygiene (DOHMH) welcomes the opportunity to comment on the interim final rule for the “Child Nutrition Programs: Flexibilities for Milk, Whole Grains, and Sodium Requirements,” the continued availability of these flexibilities and their corresponding impacts. DOHMH commends the United States Department of Agriculture (USDA) for its efforts to date to support the health of children by providing nutritious meals in schools. 
Ensuring that healthy foods and beverages are available in schools and other NYC agencies is a priority for NYC. The NYC Food Standards were set by Mayoral Executive Order in 2008, and include specific nutrition standards for foods served to children, including limiting sodium and requiring fruits, vegetables, and low-calorie beverages. The Standards apply to more than 240 million meals and snacks served per year across a variety of settings, including schools, childcare centers, and public hospitals. The NYC Department of Education (DOE) serves approximately 950,000 meals daily and has the largest school food service program in the United States, with about $200 million in annual food purchases. City agency programs have consistently reported compliance with the NYC Food Standards in over 90% of programs. It is crucial that NYC’s large investment in feeding New Yorkers results in providing those in its care with healthy food and encourages manufacturers to support these goals. We hope our experience improving the nutritional quality of food served in NYC programs can inform the proposed interim final rule.   
DOHMH offers comment on two aspects of the USDA’s proposed interim rule. First, we oppose any delay of Sodium Target 2. Reaching Sodium Target 2 as scheduled is achievable without further delay. The NYC DOE has been successful working in partnership with manufacturers and suppliers to reduce the amount of sodium in the foods served in NYC schools. These efforts are critical to protect the health of future generations. The sodium levels in Sodium Target 1 remain high and are inadequate to protect the health of American children. As it stands, a child eating lunch in school can consume more than half of her daily intake of sodium in a single meal. Lowering sodium intake reduces the risk of high blood pressure, heart disease and stroke. One in four adult New Yorkers reported having been told they have high blood pressure by a health care provider in 2016. Racial disparities in cardiovascular disease rates among New Yorkers are especially concerning. Black adults have more than three times the early death rate from stroke compared to Whites and nearly two times the rate compared to Latinos. We urge the USDA to prioritize lowering sodium in school meals to help reduce the risk of high blood pressure and cardiovascular disease among its students later in life. 
Second, the interim final rule allows for additional flexibility in whole grain products served in schools. Recommendations made in the Dietary Guidelines for Americans encourage the consumption of whole grains, which are an essential part of a nutritious diet. Whole grains are a source of fiber, which may help 
to lower the risk of heart disease. We recommend maintaining a whole grain-rich product requirement for the National School Lunch Program and School Breakfast program to ensure that whole grains continue to be primarily used where available. We defer to USDA and school food authorities as to how a requirement for whole grains can best be put into practice. 
 
We ask the USDA to consider the recommendations included in this letter not only for the interim final rule, but also for the final rule. We look forward to further advancing our common goal of improving the healthfulness of all food and beverages offered in schools. 
 
Thank you for your consideration.  
 
Sincerely,  
 
Mary T. Bassett, MD, MPH Commissioner ",In favor of original HHFKA
2017,FNS-2017-0021-4894,nan,Academic researchers,"To: Tina Namian, Chief, School Programs Branch Policy and Program Development Division, U.S. Department of Agriculture 
 RE: Docket ID FNS-2017-0021 
 Dear Ms. Namian: 
 The healthier school meal rules have been an important step for our nation to remedy nutritional shortfalls in childrens diets and to help address the current high rates of obesity and chronic disease. We want the best nutrition for all children, particularly lowincome children who may lack access to consistent healthy, quality food outside of school.  
 The new USDA nutrition standards for school meals are extraordinarily important for the health and academic success of Americas school children. Thirty million children eat lunch at school every day; more than 21 million of them are low-income children whose families are struggling to make ends meet. Nearly 15 million children (12 million of them low-income) eat school breakfast every day. Research shows that the new standards have a positive impact on the school nutrition environment as well as student food selection and consumption, especially for fruits and vegetables.    
 We are concerned about the proposed changes to the school nutrition standards, and strongly support maintaining the current, evidence-based school meal program standards to assure that all children have access to foods that support their health, wellbeing, and learning, irrespective of the school they attend.  
 School meals should be consistent with the Dietary Guidelines for Americans, including serving whole-grain foods and limiting sodium and saturated fat. This is especially important because most American children do not consume enough fiber and whole grains, and consume too much sodium and fat. The majority of schools are fully and successfully meeting the current nutrition requirements already; this is not a time for rolling back the standards. 
 To ensure that children get the full value from the new healthier school meals, we offer these recommendations to increase the reach of the school nutrition programs:  
 
 ensure that students who are eligible for free and reduced-price school meals are certified by working with states to improve and strengthen direct certification systems, and address any barriers in the school meal application process;   encourage schools to offer free breakfast and lunch to all students through the Community Eligibility Provision, and any other federal provisions that are available to schools; and  promote breakfast in the classroom and other alternative school breakfast models. 
 We encourage USDA to continue its excellent nutrition education (e.g., Team Nutrition), program technical assistance, training, and education initiatives. 
In summary, we are concerned about proposed revisions to the school meal standards. Our nations children need and deserve strong, evidence-based nutrition standards that support their learning, health, and well-being.  
Sincerely,  
Jennifer Hyk
Stony Brook University
Social Welfare PhD Student
  ",In favor of original HHFKA
2017,FNS-2017-0021-4907,nan,Advocacy,"Regarding the proposed changes in the interim final rule presented in document 82 FR 56703,Docket Number FNS-2017-0021 I would like to:
Oppose the option for Child Nutrition Programs (CNPs) to offer flavored, 1% fat milk as a part of a reimbursable meal.
Children can be encouraged to increase their milk consumption without being offered flavored milk. For example, one study (http://www.sciencedirect.com/science/article/pii/S014929181500956X) found that simply placing emoticons next to healthy food options increased consumption of healthy foods. More specifically, this study found that the use of emoticons increased white milk consumption, decreased chocolate milk consumption, but did not decrease milk consumption overall. Behavioral nudges like these can be used to effectively encourage healthy behaviors, not only for plain over flavored milk but also for healthier over less healthy food options. When compared with plain milk, flavored milk can only increase the amount of added sugar in a childs diet, a practice that the 2015-2020 Dietary Guidelines for Americans (DGA) recommends avoiding (https://health.gov/dietaryguidelines/2015/resources/2015-2020_Dietary_Guidelines.pdf).
Oppose the option to allow School Food Authorities (SFAs) to use specific alternative grain products due to hardship(s) in procuring, preparing, or serving products that are acceptable to students and compliant with the whole grain-rich requirements.
According to the 2015-2020 DGA, diets that are higher in whole grains have been identified as characteristic of healthy eating patterns. Furthermore, diets that have lower intakes of refined grains have also been identified as characteristic of healthy eating patterns (https://health.gov/dietaryguidelines/2015/resources/2015-2020_Dietary_Guidelines.pdf). The potential hardships that might be associated with procuring, preparing, or serving whole grain-rich foods should be alleviated by the sheer availability of these products. According to the Whole Grains Council, which administers the Whole Grain Stamp seen on many foods, there are least 11,000 food products sold internationally that meet the whole grain requirements for CNP meals, with over 75% of these foods being sold in the U.S. (https://wholegrainscouncil.org/whole-grain-stamp/its-working) With this volume of product availability, there are plenty of options for SFAs to procure, prepare, and serve whole grain foods without having to utilize alternative grain products.
Support the retention of Sodium Target 1 through the end of SY 2018-2019.
However, I believe that SFAs should be encouraged to procure and introduce lower sodium foods in preparation for the implementation of Sodium Target 2. Active encouragement should assist the SFAs to successfully reach the new target rather than potentially failing to meet the target after implementation. Failure to meet the target will result in additional regulatory burden as well as negative impacts on SFA budgets, both of which have negative consequences for child nutrition.
As a food bank that currently vends a very low number of daily meals compared to most SFA's, we are able to adhere to the current guidelines, and still produce meals below the reimbursement rate.
Thank you for your consideration. 
",In favor of original HHFKA
2017,FNS-2017-0021-4974,nan,School,"The healthier school meal rules have been an important step for our nation to remedy nutritional shortfalls in children’s diets and to help address the current high rates of obesity and chronic disease. We want the best nutrition for all children, particularly low income children who may lack access to consistent healthy, quality food outside of school.  
 
The new USDA nutrition standards for school meals are extraordinarily important for the health and academic success of America’s school children. Thirty million children eat lunch at school every day; more than 21 million of them are low-income children whose families are struggling to make ends meet. Nearly 15 million children (12 million of them low-income) eat school breakfast every day. Research shows that the new standards have a positive impact on the school nutrition environment as well as student food selection and consumption, especially for fruits and vegetables.  
 
We are concerned about the proposed changes to the school nutrition standards, and strongly support maintaining the current, evidence-based school meal program standards to assure that all children have access to foods that support their health, wellbeing, and learning, irrespective of the school they attend.  
 
School meals should be consistent with the Dietary Guidelines for Americans, including serving wholegrain foods and limiting sodium and saturated fat. This is especially important because most American children do not consume enough fiber and whole grains, and consume too much sodium and fat. The majority of schools are fully and successfully meeting the current nutrition requirements already; this is not a time for rolling back the standards.  
 
To ensure that children get the full value from school meals, we offer these recommendations to increase the reach of the school nutrition programs:  • ensure that students who are eligible for free and reduced-price school meals are certified by working with states to improve and strengthen direct certification systems, and address any barriers in the school meal application process;  • encourage schools to offer free breakfast and lunch to all students through the Community Eligibility Provision, and any other federal provisions that are available to schools; and  • promote breakfast in the classroom and other alternative school breakfast models.  
 
We encourage USDA to continue its excellent nutrition education, program technical assistance, training, and education initiatives. Our nation’s children need and deserve strong, evidence-based nutrition standards that support their learning, health, and well-being. ",In favor of original HHFKA
2017,FNS-2017-0021-5236,nan,Advocacy,"The Center for Civil Justice (CCJ) is concerned with the changes to the school nutrition standards. Government-subsidized school meals must remain healthier in order to combat the growing problem of childhood obesity and chronic disease. The intent to halt reductions in the amount of salt in student meals and allowing schools to serve more white bread and milk with added sugar runs counter to schools' progress in helping children establish healthy habits. 
As you know, many low-income children lack access to consistent healthy and quality food outside of school. In Michigan, nearly one in four children live in poverty and 679,211 children are eligible for free or reduced-price lunches. CCJ strongly supports maintaining the current, evidence-based school meal program standards to assure that all children have access to foods that support their health, wellbeing, and learning, irrespective of the school they attend. 
School meals should be consistent with the Dietary Guidelines for Americans, including serving whole-grain foods and limiting salt and sugar. 
The majority of schools in Michigan are fully and successfully meeting the current nutrition requirements already; this is not a time for rolling back the standards. 
Our children deserve nutrition standards that support their learning, health, and well-being. ",In favor of original HHFKA
2017,FNS-2017-0021-5270,nan,Other government agency - (non school),"The healthier school meal rules have been an important step for our nation to remedy nutritional shortfalls in children's diets and to help address the current high rates of obesity and chronic disease. We want the best nutrition for all children, particularly low-income children who may lack access to consistent healthy, quality food outside of school. 
The new USDA nutrition standards for school meals are extraordinarily important for the health and academic success of America's school children. Thirty million children eat lunch at school every day; more than 21 million of them are low-income children whose families are struggling to make ends meet. Nearly 15 million children (12 million ofthem low-income) eat school breakfast every day. Research shows that the new standards have a positive impact on the school nutrition environment as well as student food selection and consumption, especially for fruits and vegetables. 
We are concerned about the proposed changes to the school nutrition standards, and strongly support maintaining the current, evidence-based school meal program standards to assure that all children have access to foods that support their health, wellbeing, and learning, irrespective of the school they attend. 
School meals should be consistent with the Dietary Guidelines for Americans, including serving whole-grain foods and limiting sodium and saturated fat. This is especially important because most American children do not consume enough fiber and whole grains, and consume too much sodium and fat. The majority of schools are fully and successfully meeting the current nutrition requirements already; this is not a time for rolling back the standards. 
To ensure that children get the full value from the new healthier school meals, we offer these recoi:nmendations to increase the reach of the school nutrition programs: 
 ensure that students who are eligible for free and reduced-price school meals are certified by working with states to improve and strengthen direct certification systems, and address any barriers in the school meal application process; • encourage schools to offer free breakfast and lunch to all students through the Community Eligibility Provision, and any other federal provisions that are available to schools; and • promote breakfast in the classroom and other alternative school breakfast models. 
We encourage USDA to continue its excellent nutrition education program (e.g., Team Nutrition), technical assistance, training, and education initiatives. 
In summary, we are concerned about proposed revisions to the school meal standards. Our nation's children need and deserve strong, evidence-based nutrition standards that support their learning, health, and well-being. ",In favor of original HHFKA
2017,FNS-2017-0021-5341,nan,Manufacturer/food industry,This is shameful! At a time when we have increasing childhood obesity and type 2 diabetes we should NOT be adding sugar to milk!!!,In favor of original HHFKA
2017,FNS-2017-0021-5437,nan,Manufacturer/food industry,"The healthier school meal rules have been an important step for our nation to remedy nutritional shortfalls in children’s diets and to help address the current high rates of obesity and chronic disease. We want the best nutrition for all children, particularly low income children who may lack access to consistent healthy, quality food outside of school. The new USDA nutrition standards for school meals are extraordinarily important for the health and academic success of America’s school children. Thirty million children eat lunch at school every day; more than 21 million of them are low-income children whose families are struggling to make ends meet. Nearly 15 million children (12 million of them low-income) eat school breakfast every day.   Proper nutrition is of course a foundation of not only good physical health, but of proper brain development and good mental health and is the most basic and important building block that all American children should be given. 
Research shows that the new standards have a positive impact on the school nutrition environment as well as student food selection and consumption, especially for fruits and vegetables and we should not abandon them. We are concerned about the proposed changes to the school nutrition standards, and strongly support maintaining the current, evidencebased school meal program standards to assure that all children have access to foods that support their health, wellbeing, and learning, irrespective of the school they attend. School meals should be consistent with the Dietary Guidelines for Americans, including serving wholegrain foods and limiting sodium and saturated fat. This is especially important because most American children do not consume enough fiber and whole grains and consume too much sodium and fat.  
The vast majority of American schools are fully and successfully meeting the current nutrition requirements already; it would be a shame to roll back the standards just as the schools are getting on board with better nutrition for the nation’s children.  
 To ensure that children get the full value from the new healthier school meals, we offer these recommendations to increase the reach of the school nutrition programs: 
• ensure that students who are eligible for free and reduced-price school meals are certified by working with states to improve and strengthen direct certification systems, and address any barriers in the school meal application process;  
• encourage schools to offer free breakfast and lunch to all students through the Community Eligibility Provision, and any other federal provisions that are available to schools; and  
• promote breakfast in the classroom and other alternative school breakfast models. We encourage USDA to continue its excellent nutrition education (e.g., Team Nutrition), program technical assistance, training, and education initiatives.  
In summary, we are concerned about proposed revisions to the school meal standards. Our nation’s children need and deserve strong, evidence-based nutrition standards that support their learning, health, and well-being. ",In favor of original HHFKA
2017,FNS-2017-0021-5465,nan,Advocacy,"The California Food Policy Advocates respectfully submit comments in response to the U.S. Department of Agriculture’s (USDA) “Child Nutrition Programs: Flexibilities for Milk, Whole Grains, and Sodium Requirements” interim final rule (IFR) (82 FR 56703), and oppose weakening school nutrition standards. CFPA is a statewide policy and advocacy organization dedicated to improving the health and well-being of low-income Californians by increasing their access to nutritious, affordable food. CFPA has worked to strengthen the federal nutrition programs for over 25 years by sponsoring state legislation, conducting research, and working with communities across California. 
 
The new USDA nutrition standards for school meals are extraordinarily important for the health and academic success of California’s school children. While all students can benefit from healthy school meals, they are particularly important to low-income students and those that struggle with hunger. In California, 2.3 million low-income children eat school lunch, and 1.2 million low-income children eat school breakfast, each day. Many of these students rely on school meals for adequate nutrition. Nutritious school meals improve nutrition shortfalls and help address the nation’s obesity problem. 
 
Research shows that the new, science-based nutrition standards have a positive impact on the school nutrition environment. There have been many successes as a result of the Healthy, HungerFree Kids Act (HHFKA) of 2010 which ushered in improved school meal nutrition standards. ? Kids eating more fruits and vegetables as a result of the improved HHFKA nutrition standards. ? Increased school lunch revenue. Nationwide, schools saw a net increase in revenue from school lunches of approximately $200 million. ? Healthy food standards did not increase food waste.  While plate waste is always concerning, the amount of waste was not increased since before the meal pattern changed. ? Participation increased substantially in many areas of the country. California's largest school district, Los Angeles Unified, saw a 14 percent increase in participation with the HHFKA  meal standards. 
 
 
 
 
 
 Anna Colby at anna@cfpa.net ? 213.482.8200 ext. 204 ?  www.cfpa.net  
? Virtually all schools continued to offer the federal school meal programs. Despite media reports of schools dropping out of as a result of HHFKA, 99.85% of schools continued to participate in the programs.1 
 
We are concerned about the proposed changes to the school nutrition standards, and strongly support maintaining the current, evidence-based school meal program standards to assure that all children have access to foods that support their health, wellbeing, and learning, irrespective of the school they attend. 
 
School meals should be consistent with the Dietary Guidelines for Americans, including serving whole-grain foods and limiting sodium and saturated fat. This is especially important because most American children do not consume enough fiber and whole grains, and consume too much sodium and fat. The majority of schools are fully and successfully meeting the current nutrition requirements already; this is not a time for rolling back the standards. 
 
To ensure that children get the full value from the new healthier school meals, we offer these recommendations to increase the reach of the school nutrition programs: ? Ensure that students who are eligible for free and reduced-price school meals are certified by working with states to improve and strengthen direct certification systems, and address any barriers in the school meal application process; ? Encourage schools to offer free breakfast and lunch to all students through the Community Eligibility Provision, and any other federal provisions that are available to schools; and ? Promote breakfast in the classroom and other alternative school breakfast models. 
 
In summary, we are concerned about proposed revisions to the school meal standards. The healthier school meal rules have been an important step to ensure that California kids are healthy and ready to learn. California and our nation’s children need and deserve strong, evidence-based nutrition standards that support their learning, health, and well-being. 
 ",In favor of original HHFKA
2017,FNS-2017-0021-5602,nan,Manufacturer/food industry,"On behalf of Slow Food USA, the national, not-for-profit organization dedicated to a food chain that is good, clean, and fair for all, I respectfully submit comments in response to the U.S. Department of Agriculture (USDA) “Child Nutrition Programs: Flexibilities for Milk, Whole Grains, and Sodium Requirements” interim final rule (IFR) (82 FR 56703).  
 
Slow Food USA believes that everyone, most particularly our children, have a right to enjoy, ample, sustainably and humanely produced food that is good for human and environmental health and for those who produce our food.  For the sake of our school children, we strongly oppose weakening school nutrition standards.  Virtually all schools, 99 percent, participating in the National School Lunch and Breakfast Programs are making significant progress in serving healthier meals to our children - with less sodium, more whole grains, fruits, and vegetables, and no trans-fat - and removing access to sugary drinks and unhealthy snack food.1  The 2012 updates to school nutrition standards reflect sound science, support children’s health, and are consistent with the 2015-2020 Dietary Guidelines for Americans (DGA)2 and the National Academies of Science, Engineering, and Medicine (formerly, Institute of Medicine) 2009 report School Meals: Building Blocks for Healthy Children.3   
 
The Harvard University T.H. Chan School of Public Health concluded that the update to school nutrition standards is “one of the most important national obesity prevention policy achievements in recent decades.”4  Researchers estimate that these improvements prevent more than 2 million cases of childhood obesity and save up to $792 million in health-care related costs over ten  years.  Improved school nutrition is critical given that one out of three children and adolescents aged 2 to 19 years is overweight or obese5,6 and children consume one-third to one-half of daily calories during the school day.7  Contrary to supporting children’s health, the proposed IFR changes could jeopardize it. 
 
Sodium We oppose the proposed three-year delay of the second school meals sodium reduction targets (Target 2), from School Year 2017/18 to School Year 2021/22, that would lock in unsafe levels of sodium in our children’s diets.  Unfortunately, nine out of ten children consume too much sodium,8 increasing their risk of high blood pressure, heart disease, and stroke.9  Many schools’ food service companies, and others in the industry, are working toward or already providing healthy and appealing meals and food products with less sodium.  USDA should address remaining challenges through training and technical assistance.  Delaying the second phase of sodium reduction puts children’s health at risk.  Further, we are opposed to any delay of the third and final phase of school meals sodium reduction (Target 3), which is to go into effect in School Year 2022/23.   
 
Whole Grains We oppose the continuation of whole-grain waivers.  USDA provides in the IFR that 85 percent of schools have not requested waivers and are providing children with appealing whole-grain options.  If 85 percent of our nation’s schools are serving whole grains to their students, the remaining 15 percent can be encouraged to do the same.10  Eating more whole grains is associated with reduced risk of heart disease, stroke, and diabetes, provides more nutrients, and provides a healthful source of fiber.11  Children, on average, consume too few whole grains and too many refined grains.12   
 
Flavored Milk We oppose allowing flavored low-fat (1 percent) milk in school meals and as a competitive food.  The current standards that allow plain or flavored fat-free milk and plain low-fat milk are based on expert recommendations from the National Academy of Medicine’s 2009 report.13  The recommendations disallowed flavored low-fat milk because it would provide more calories and likely cause the school meals calorie maximum to be exceeded.  The 2015 DGA similarly recommended, “increasing the proportion of dairy intake that is fat-free or low-fat milk” and “reducing the intake of added sugars” such as those in flavored milk.14  Similarly, the Robert Wood Johnson Foundation’s Healthier Beverage Guidelines recommend only plain fat-free and low-fat milk for children and adolescents.15   
 
Rather than weakening school nutrition standards, we urge the administration to continue improving school food. 
   
",In favor of original HHFKA
2017,FNS-2017-0021-5864,nan,Other government agency - (non school),"As the agency overseeing administration of the NSLP in the District of Columbia, The Office of
the State Superintendent of Education (OSSE) opposes the interim final rule’s flexibility to
provide operators the option to offer flavored, low-fat (1 percent fat) milk in the Child Nutrition
Programs. This flexibility allows and supports service of milk higher in fat content while
providing no additional nutritional benefit. Foods high in sugar and fat content can lead to
obesity and diet-related diseases. Schools have not shown or indicated any hardship meeting the
milk requirements since they went into effect in July of 2012. Since no hardship has been
shown, we see no reason to serve milk at this higher fat content.
Beginning July 1, 2012 (SY 2012-2013), all fluid milk in all District public schools has been
required to be low-fat (1 percent or less, unflavored) or fat-free (unflavored or flavored). School
Food Authorities (SFAs) in the District of Columbia have been offering these milk options for
six school years, and have diligently worked to change student perception and behavior
surrounding milk consumption. This hard work has been successful, and many SFAs have
chosen to limit fat-free flavored milk offered to students. Allowing flavored, low-fat milk in the
Child Nutrition Programs would roll back the progress schools have made in changing student
perception and behavior.
OSSE takes a neutral position, however, on extending the State agencies’ option to allow
individual school food authorities to include grains that are not whole grain-rich in the weekly
menu offered under the National School Lunch Program (NSLP) and School Breakfast Program
(SBP). Currently, there are no District of Columbia School Food Authorities requesting this
flexibility and no allowances have been given.
Lastly, OSSE is in favor of retaining Sodium Target 1 in the NSLP and SBP to allow School
Food Authorities and food manufacturers time to develop and modify products and recipes to
meet these standards and students’ acceptance.",In favor of original HHFKA
2017,FNS-2017-0021-5867,nan,Advocacy,"On behalf of Oldways, a 501(c)3 educational nonprofit dedicated to improving health through traditional dietary models, we are writing in opposition to the Flexibilities for Milk, Whole Grains, and Sodium Requirements. 
This interim final rule is an unnecessary threat to childrens health, given that widespread evidence indicates that healthier school meals have actuallyreduced plate wastewithoutreducing school meal participationin many districts.Despite false assumptions to the contrary, students todayare eating, and enjoying, whole grain foods. Relaxing nutrition guidelines that are already being met is a pointless exercise, and September 2016 datafrom the USDA show that the vast majority of school districts are certified as complying with the school nutrition standards.This includes100% certification in statessuch as Alabama, Kentucky, and Mississippi states that often dont receive acknowledgement for meeting nutritional guidelines.
This announcement comes at a particularly troubling time, as a November 2017 Harvardstudy publishedin theNew England Journal of Medicineestimates that 57% of todays children will be obese by age 35. Our lunchrooms are a place to nurture students'appetitesfor healthy food and properly fuel their growing brains and bodies. Thus, we urge policy makers to prioritize the health and wellbeing of the next generation, and to not backpedal on existing successes.
Sincerely,
Sara Baer-Sinnott
President, Oldways
Kelly Toups, MLA, RD, LDN
Director of Nutrition, Oldways
Cynthia Harriman
Director of Food and Nutrition Strategies, Oldways
",In favor of original HHFKA
